,city,city_name,state_code,n_restaurants,n_cuisine,n_cuisine_mexican,n_cuisine_pizza,n_cuisine_american,n_cuisine_japanese,n_cuisine_thai,n_cuisine_sushi,n_cuisine_italian,n_cuisine_chinese,n_cuisine_korean,n_cuisine_burger,n_cuisine_mediterranean,n_cuisine_breakfast,n_cuisine_seafood,n_cuisine_asian,n_cuisine_indian,n_cuisine_barbecue,n_cuisine_sandwich,n_cuisine_steak_house,n_cuisine_vietnamese,n_cuisine_noodle,n_cuisine_chicken,n_cuisine_ramen,n_cuisine_french,n_cuisine_pasta,n_cuisine_filipino,n_cuisine_coffee_shop,n_cuisine_salad,n_cuisine_pancake,n_cuisine_peruvian,n_cuisine_hawaiian,n_cuisine_greek,n_cuisine_regional,n_cuisine_poke,n_cuisine_lebanese,n_cuisine_kebab,n_cuisine_fish,n_cuisine_spanish,n_cuisine_diner,n_cuisine_tacos,n_cuisine_dessert,n_cuisine_deli,n_cuisine_ice_cream,n_cuisine_brazilian,n_cuisine_middle_eastern,n_cuisine_tex-mex,n_cuisine_lunch,n_cuisine_grill,n_cuisine_brunch,n_cuisine_southern,n_cuisine_italian_pizza,n_cuisine_latin_american,n_cuisine_wings,n_cuisine_german,n_cuisine_steak,n_cuisine_bagel,n_cuisine_tapas,n_cuisine_fish_and_chips,n_cuisine_international,n_cuisine_jamaican,n_cuisine_turkish,n_cuisine_cajun,n_cuisine_soup,n_cuisine_buffet,n_cuisine_donut,n_cuisine_mongolian_grill,n_cuisine_caribbean,n_cuisine_hot_dog,n_cuisine_bar_and_grill,n_venues,n_venue_type,n_venue_bar,n_venue_fitness_centre,n_venue_theatre,n_venue_sports_centre,n_venue_cinema,n_venue_public_bookcase,n_venue_pub,n_venue_nightclub,n_venue_arts_centre,n_venue_stadium,n_venue_public_building,n_venue_casino,n_cafe,n_cafe_cuisine,n_cafe_brand,n_cafe_brand_Starbucks,n_cafe_brand_Dunkin',n_cafe_amenity_cafe,n_cafe_amenity_fast_food,n_cafe_cuisine_coffee_shop,n_cafe_cuisine_bubble_tea,n_cafe_cuisine_donut,n_cafe_cuisine_sandwich,n_cafe_cuisine_breakfast,n_cafe_cuisine_american,n_cafe_cuisine_coffee,n_cafe_cuisine_pastry,n_cafe_cuisine_tea,n_cafe_cuisine_dessert,n_cafe_cuisine_bagel,n_cafe_cuisine_ice_cream,n_cafe_brand_Tim_Hortons,n_cafe_brand_Dutch_Bros._Coffee
144,"Lancaster, CA",Lancaster,CA,247,57.0,19.0,25.0,28.0,5.0,4.0,2.0,12.0,22.0,0.0,4.0,0.0,4.0,6.0,1.0,9.0,5.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,307,12.0,47.0,32.0,14.0,35.0,12.0,7.0,136.0,6.0,7.0,8.0,1.0,0.0,177,34,13,15.0,2.0,174.0,3.0,63.0,12.0,2.0,14.0,3.0,0.0,10.0,0.0,8.0,3.0,1.0,9.0,2.0,3.0
145,"Garden Grove, CA",Garden Grove,CA,95,24.0,6.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,7.0,2.0,0.0,2.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6.0,6.0,6.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27,6,4,7.0,0.0,27.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
146,"Pembroke Pines, FL",Pembroke Pines,FL,52,24.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14,5.0,2.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,3,2,5.0,4.0,8.0,4.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"Fort Collins, CO",Fort Collins,CO,198,46.0,30.0,17.0,22.0,6.0,8.0,7.0,8.0,6.0,2.0,6.0,4.0,9.0,2.0,10.0,6.0,5.0,11.0,6.0,3.0,0.0,4.0,3.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,162,10.0,19.0,50.0,6.0,22.0,5.0,25.0,32.0,0.0,1.0,1.0,0.0,0.0,66,15,8,14.0,1.0,64.0,1.0,32.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
148,"Palmdale, CA",Palmdale,CA,54,22.0,9.0,8.0,7.0,2.0,0.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,2,5,8.0,0.0,14.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,"Springfield, MO",Springfield,MO,539,65.0,60.0,51.0,76.0,10.0,10.0,6.0,20.0,28.0,2.0,16.0,2.0,15.0,5.0,7.0,7.0,18.0,20.0,14.0,1.0,0.0,8.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,5.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,2.0,0.0,1.0,3.0,312,11.0,102.0,51.0,21.0,47.0,10.0,34.0,13.0,7.0,6.0,20.0,0.0,1.0,118,17,9,23.0,12.0,100.0,13.0,70.0,4.0,14.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
150,"Clarksville, TN",Clarksville,TN,109,30.0,14.0,10.0,28.0,2.0,0.0,1.0,3.0,4.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,0.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,67,10.0,11.0,11.0,9.0,17.0,5.0,0.0,4.0,4.0,1.0,4.0,1.0,0.0,19,8,2,9.0,2.0,17.0,2.0,15.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,"Salinas, CA",Salinas,CA,172,41.0,11.0,12.0,6.0,1.0,1.0,0.0,7.0,7.0,0.0,2.0,0.0,3.0,9.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,11.0,13.0,17.0,5.0,24.0,3.0,28.0,2.0,0.0,2.0,7.0,0.0,2.0,33,6,1,10.0,0.0,29.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
152,"Hayward, CA",Hayward,CA,66,22.0,6.0,7.0,9.0,2.0,2.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,9.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,19,6,5,8.0,0.0,19.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
153,"Paterson, NJ",Paterson,NJ,78,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,8.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,20,2,1,0.0,11.0,9.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,"Alexandria, VA",Alexandria,VA,284,53.0,21.0,29.0,36.0,6.0,10.0,8.0,12.0,12.0,0.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,9.0,5.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189,9.0,11.0,32.0,10.0,23.0,5.0,86.0,13.0,0.0,5.0,4.0,0.0,0.0,72,26,9,14.0,8.0,62.0,8.0,39.0,1.0,8.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
155,"Macon, GA",Macon,GA,100,21.0,6.0,6.0,27.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,10.0,3.0,2.0,5.0,9.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,6,2,2,1.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"Corona, CA",Corona,CA,60,21.0,9.0,3.0,10.0,1.0,2.0,6.0,3.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8.0,3.0,9.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,17,4,3,11.0,1.0,16.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"Kansas City, KS",Kansas City,KS,533,69.0,62.0,39.0,64.0,4.0,8.0,13.0,19.0,31.0,3.0,17.0,4.0,12.0,10.0,5.0,5.0,27.0,12.0,14.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,350,13.0,127.0,44.0,44.0,52.0,9.0,14.0,9.0,7.0,3.0,34.0,0.0,5.0,124,16,6,26.0,3.0,119.0,4.0,85.0,3.0,5.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0
158,"Lakewood, CO",Lakewood,CO,319,59.0,38.0,29.0,38.0,10.0,10.0,9.0,18.0,11.0,0.0,10.0,1.0,10.0,6.0,6.0,5.0,7.0,9.0,5.0,8.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,8.0,3.0,0.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,175,15.0,32.0,36.0,7.0,35.0,5.0,2.0,37.0,3.0,4.0,5.0,3.0,3.0,78,13,6,22.0,3.0,75.0,3.0,51.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
159,"Springfield, MA",Springfield,MA,539,65.0,60.0,51.0,76.0,10.0,10.0,6.0,20.0,28.0,2.0,16.0,2.0,15.0,5.0,7.0,7.0,18.0,20.0,14.0,1.0,0.0,8.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,5.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,2.0,0.0,1.0,3.0,312,11.0,102.0,51.0,21.0,47.0,10.0,34.0,13.0,7.0,6.0,20.0,0.0,1.0,118,17,9,23.0,12.0,100.0,13.0,70.0,4.0,14.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0
160,"Sunnyvale, CA",Sunnyvale,CA,179,39.0,15.0,10.0,12.0,7.0,8.0,8.0,1.0,22.0,3.0,2.0,7.0,3.0,2.0,4.0,31.0,2.0,5.0,0.0,11.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,75,12.0,11.0,26.0,2.0,16.0,1.0,4.0,6.0,3.0,1.0,2.0,2.0,0.0,39,14,12,6.0,1.0,38.0,1.0,11.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
161,"Jackson, MS",Jackson,MS,200,40.0,8.0,23.0,32.0,2.0,4.0,2.0,3.0,3.0,1.0,6.0,3.0,3.0,7.0,3.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81,11.0,18.0,17.0,6.0,10.0,11.0,2.0,6.0,0.0,1.0,7.0,2.0,0.0,27,11,2,5.0,4.0,23.0,4.0,14.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
162,"Killeen, TX",Killeen,TX,36,26.0,5.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14,6.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6,2,2,2.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"Hollywood, FL",Hollywood,FL,52,35.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,5.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,2,3.0,3.0,10.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"Murfreesboro, TN",Murfreesboro,TN,199,41.0,18.0,22.0,22.0,6.0,5.0,5.0,7.0,7.0,0.0,6.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,62,9.0,6.0,19.0,0.0,22.0,4.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,29,8,4,9.0,6.0,23.0,6.0,21.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
165,"Pasadena, TX",Pasadena,TX,249,46.0,21.0,13.0,22.0,13.0,6.0,11.0,12.0,6.0,3.0,5.0,6.0,5.0,5.0,8.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,88,11.0,10.0,18.0,9.0,23.0,7.0,1.0,5.0,1.0,3.0,9.0,2.0,0.0,77,13,8,16.0,1.0,76.0,1.0,39.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,"Bellevue, WA",Bellevue,WA,353,78.0,14.0,24.0,28.0,21.0,12.0,16.0,8.0,43.0,8.0,13.0,1.0,11.0,9.0,10.0,21.0,8.0,4.0,7.0,11.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,178,15.0,29.0,46.0,6.0,39.0,7.0,27.0,12.0,1.0,2.0,1.0,4.0,0.0,125,20,10,28.0,2.0,123.0,2.0,60.0,14.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
167,"Pomona, CA",Pomona,CA,20,12.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,5.0,3.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,1,1,4.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Escondido, CA",Escondido,CA,62,15.0,14.0,6.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,8.0,6.0,3.0,4.0,6.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,21,5,1,6.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,"Joliet, IL",Joliet,IL,44,11.0,9.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,8.0,9.0,3.0,1.0,5.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,20,2,2,4.0,12.0,8.0,12.0,17.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"Charleston, SC",Charleston,SC,326,74.0,28.0,27.0,59.0,4.0,4.0,11.0,21.0,4.0,1.0,7.0,6.0,12.0,49.0,6.0,2.0,10.0,9.0,11.0,4.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,9.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,3.0,6.0,26.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,197,10.0,56.0,32.0,22.0,28.0,3.0,18.0,22.0,5.0,4.0,7.0,0.0,0.0,80,33,5,15.0,3.0,73.0,3.0,38.0,3.0,4.0,5.0,6.0,5.0,0.0,7.0,4.0,3.0,0.0,3.0,0.0,0.0
171,"Mesquite, TX",Mesquite,TX,94,24.0,12.0,6.0,21.0,2.0,2.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24,8.0,0.0,6.0,1.0,10.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,8,2,2,5.0,0.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,"Naperville, IL",Naperville,IL,153,45.0,11.0,13.0,9.0,8.0,3.0,7.0,8.0,9.0,6.0,2.0,3.0,3.0,3.0,5.0,13.0,6.0,4.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,98,10.0,10.0,32.0,7.0,15.0,2.0,15.0,10.0,0.0,0.0,5.0,1.0,0.0,34,5,6,10.0,10.0,24.0,10.0,25.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
