City,State,Merge_Key,State_FIPS,Place_FIPS,NAME,Total_Population,Median_Household_Income,Median_Housing_Value,Owner_Occupied_Units,Bachelors_Degree_Count,Masters_Degree_Count,Unemployed_Count,Unemployment_Rate,Bachelors_Or_Higher_Rate
Baltimore,MD,"baltimore,MD",24,04000,Baltimore city,584548.0,58349.0,202900.0,118072.0,72434.0,47683.0,20484.0,0.035042460157249704,0.20548697455127723
Milwaukee,WI,"milwaukee,WI",55,53000,Milwaukee city,573299.0,49733.0,157800.0,94975.0,59525.0,25164.0,16520.0,0.028815679078456443,0.14772221824911608
Albuquerque,NM,"albuquerque,NM",35,02000,Albuquerque city,562551.0,61503.0,246000.0,145550.0,81073.0,45389.0,15953.0,0.028358317734747604,0.22480095138040818
Tucson,AZ,"tucson,AZ",04,77000,Tucson city,541033.0,52049.0,218200.0,112458.0,61126.0,29410.0,17587.0,0.032506335103404047,0.16733914567133612
Fresno,CA,"fresno,CA",06,27000,Fresno city,541528.0,63001.0,321800.0,85485.0,54685.0,16926.0,22806.0,0.04211416584184013,0.1322387762036312
Sacramento,CA,"sacramento,CA",06,64000,Sacramento city,523600.0,78954.0,450500.0,99642.0,81609.0,30238.0,17090.0,0.032639419404125285,0.21361153552330023
Kansas City,MO,"kansas city,MO",29,38000,Kansas City city,505958.0,65256.0,208900.0,116833.0,80662.0,34271.0,13311.0,0.02630850782080726,0.22715917131461505
Mesa,AZ,"mesa,AZ",04,46000,Mesa city,503390.0,73766.0,327700.0,122099.0,68365.0,26091.0,12386.0,0.02460517690061384,0.18763980214148077
Atlanta,GA,"atlanta,GA",13,04000,Atlanta city,494838.0,77655.0,395600.0,103831.0,110739.0,57360.0,16383.0,0.033107804978599054,0.33970511561359473
Omaha,NE,"omaha,NE",31,37000,Omaha city,489201.0,70202.0,210300.0,114534.0,80487.0,29674.0,11163.0,0.022818841335156714,0.22518555767465726
Colorado Springs,CO,"colorado springs,CO",08,16000,Colorado Springs city,479612.0,79026.0,383000.0,117970.0,79365.0,40600.0,13951.0,0.029088096211103975,0.25012927116085504
Raleigh,NC,"raleigh,NC",37,55000,Raleigh city,465517.0,78631.0,347000.0,97018.0,103293.0,43804.0,12140.0,0.026078532040720317,0.3159863119929025
Long Beach,CA,"long beach,CA",06,43000,Long Beach city,462293.0,78995.0,709700.0,69167.0,69319.0,27091.0,16567.0,0.035836579831405625,0.20854739310350795
Virginia Beach,VA,"virginia beach,VA",51,82000,Virginia Beach city,457900.0,87544.0,343700.0,115493.0,78171.0,35380.0,9960.0,0.021751474120987116,0.24798209215986022
Miami,FL,"miami,FL",12,45000,Miami city,443665.0,54858.0,433900.0,56069.0,69535.0,28321.0,12444.0,0.028048189512357297,0.2205628120316004
